Gen   72 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   73 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   74 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   75 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   76 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   77 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   78 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   79 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   80 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   81 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   82 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   83 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   84 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   85 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   86 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   87 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   88 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   89 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   90 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   91 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   92 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   93 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   94 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   95 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   96 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   97 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   98 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   99 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  100 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  101 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  102 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  103 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  104 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  105 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  106 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  107 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  108 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  109 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
